code, description
6006,"""Fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics """"incl. . . ."
6005,"""Warp knit fabrics """"incl. those made on galloon knitting machines"""", of a width of > 30 cm . . ."
6001,"""Pile fabrics, incl. """"long pile"""" fabrics and terry fabrics, knitted or crocheted"""
6004,"""Knitted or crocheted fabrics, of a width > 30 cm, containing by weight >= 5% of elastomeric . . ."
6003,"""Knitted or crocheted fabrics, of a width <= 30 cm (excluding those containing by weight >= . . ."
6002,"""Knitted or crocheted fabrics, of a width <= 30 cm, containing by weight >= 5% of elastomeric . . ."
